Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja 
California 
(5)",Tijuana,1,-,1,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Chiapas (1),Arriaga,1,1,-,-
"Chihuahua 
(9)",Juárez,1,1,-,-
,,1,-,-,1
,,1,1,-,-
,,1,-,1,-
,,4,2,2,-
,Madera,1,1,-,-
"Ciudad de 
México (1)",Iztapalapa,1,1,-,-
Colima (7),Manzanillo,1,1,-,-
,Tecomán,6,-,-,6
Durango (1),Durango,1,1,-,-
"Guanajuato 
(5)",Abasolo,1,1,-,-
,Celaya,1,1,-,-
,Irapuato,2,-,-,2
,Salamanca,1,1,-,-
Guerrero (4),"Chilpancingo 
de los Bravo",1,-,-,1
,Cocula,2,1,1,-
,,,,,
,"Iguala de la 
Independenc
ia",1.0,1,-,-
Jalisco (5),El Salto,2.0,-,2,-
,Guadalajara,1.0,1,-,-
,"Lagos de 
Moreno",1.0,1,-,-
,"San Pedro 
Tlaquepaque",1.0,1,-,-
México (3),"Coacalco de 
Berriozábal",1.0,1,-,-
,"Cuautitlán 
Izcalli",2.0,2,-,-
"Michoacán 
de Ocampo 
(6)",Cuitzeo,3.0,2,1,-
,Morelia,1.0,1,-,-
,,1.0,1,-,-
,Zamora,1.0,1,-,-
Morelos (2),Jiutepec,1.0,1,-,-
,Xochitepec,1.0,1,-,-
"Nuevo León 
(1)",Monterrey,1.0,1,-,-
Puebla (2),"Huauchinan
go",1.0,1,-,-
,Puebla,1.0,-,1,-
"Quintana 
Roo (2)",Solidaridad,1.0,-,-,1
,,1.0,-,-,1
"San Luis 
Potosí (1)","Ciudad 
Fernández",1.0,-,1,-
Sinaloa (4),Badiraguato,1.0,1,-,-
,"Salvador 
Alvarado",1.0,1,-,-
,,2.0,2,-,-
Sonora (6),Empalme,1.0,1,-,-
,,3.0,3,-,-
,Guaymas,1.0,1,-,-
,,1.0,1,-,-
Tabasco (3),Centro,1,1,-,-
,,1,1,-,-
,"Huimanguill
o",1,1,-,-
"Tamaulipas 
(2)",Reynosa,1,-,1,-
,,1,1,-,-
"Veracruz de 
Ignacio de 
la Llave (9)",Córdoba,1,1,-,-
,"Cosoleacaqu
e",1,1,-,-
,Fortín,1,1,-,-
,Las Choapas,3,3,-,-
,"Mariano 
Escobedo",1,1,-,-
,"Paso de 
Ovejas",1,1,-,-
,Playa Vicente,1,1,-,-
"Zacatecas 
(4)",Fresnillo,2,2,-,-
,Zacatecas,2,2,-,-
Totales,,83,60,11,12
