Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja California 
(5)",Tijuana,1,-,1,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Chihuahua (1),"Hidalgo del 
Parral",1,1,-,-
"Ciudad de 
México (2)",Cuauhtémoc,1,-,-,1
,"Venustiano 
Carranza",1,1,-,-
"Guanajuato 
(10)",Apaseo el Alto,1,1,-,-
,Celaya,2,2,-,-
,Cortazar,1,1,-,-
,,1,1,-,-
,"Santa Cruz de 
Juventino 
Rosas",1,1,-,-
,"Silao de la 
Víctoria",2,2,-,-
,Uriangato,1,1,-,-
,Villagrán,1,1,-,-
Guerrero (2),Eduardo Neri,1,1,-,-
,"San Luis 
Acatlán",1,1,-,-
Jalisco (10),Guadalajara,2,2,-,-
,"Lagos de 
Moreno",3,2,1,-
,"Tlajomulco de 
Zúñiga",1,1,-,-
,,1,1,-,-
,Tonalá,3,3,-,-
México (1),Nezahualcóyotl,1,1,-,-
"Michoacán de 
Ocampo (4)",Uruapan,1,1,-,-
,Zamora,2,2,-,-
,,1,1,-,-
Morelos (1),Tlaquiltenango,1,-,1,-
"Nuevo León 
(2)",Guadalupe,1,1,-,-
,Monterrey,1,1,-,-
Puebla (4),Puebla,1,1,-,-
,"San Martín 
Texmelucan",2,2,-,-
,,1,1,-,-
"Quintana Roo 
(2)",Benito Juárez,1,1,-,-
,Solidaridad,1,1,-,-
Sinaloa (1),Culiacán,1,1,-,-
Tamaulipas (3),Reynosa,3,3,-,-
"Veracruz de 
Ignacio de la 
Llave (5)",Coatzacoalcos,1,-,1,-
,,1,1,-,-
,,1,-,1,-
,Playa Vicente,1,-,-,1
,Xalapa,1,-,1,-
Zacatecas (7),Fresnillo,1,1,-,-
,Río Grande,5,-,-,5
,Zacatecas,1,1,-,-
Totales,,60,47,6,7
