Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja 
California 
(1)",Tijuana,1,1,-,-
"Chihuahua 
(2)",Delicias,1,1,-,-
,Juárez,1,1,-,-
"Ciudad de 
México (2)",Azcapotzalco,1,1,-,-
,"Gustavo A. 
Madero",1,1,-,-
"Coahuila de 
Zaragoza (1)","Cuatrociéneg
as",1,-,1,-
Colima (2),Manzanillo,1,-,1,-
,,1,1,-,-
"Guanajuato 
(13)","Apaseo el 
Grande",1,1,-,-
,Celaya,1,1,-,-
,León,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,Salamanca,1,1,-,-
,,1,1,-,-
,"Santa Cruz 
de Juventino 
Rosas",4,3,1,-
,"Valle de 
Santiago",1,1,-,-
,Villagrán,1,1,-,-
Guerrero,Florencio,1,1,-,-
(9),Villarreal,,,,
,Zirándaro,1.0,1,-,-
,,7.0,-,-,7
Hidalgo (1),Tizayuca,1.0,-,1,-
Jalisco (4),Guadalajara,1.0,1,-,-
,,2.0,2,-,-
,,1.0,1,-,-
México (3),Ixtapaluca,1.0,1,-,-
,"Nezahualcóy
otl",1.0,1,-,-
,Tultitlán,1.0,-,1,-
"Michoacán 
de Ocampo 
(6)",Morelia,1.0,1,-,-
,Uruapan,3.0,2,1,-
,Zamora,1.0,1,-,-
,,1.0,1,-,-
Morelos (1),Tetecala,1.0,1,-,-
Nayarit (2),"Bahía de 
Banderas",1.0,1,-,-
,"San Pedro 
Lagunillas",1.0,-,1,-
Puebla (5),Huaquechula,2.0,1,1,-
,Tehuacán,1.0,1,-,-
,,1.0,1,-,-
,,1.0,-,1,-
"San Luis 
Potosí (2)","Ciudad 
Fernández",1.0,1,-,-
,"San Luis 
Potosí",1.0,1,-,-
Sinaloa (1),Culiacán,1.0,1,-,-
,,,,,
Tabasco (1),Cárdenas,1.0,1,-,-
"Tamaulipas 
(2)",Victoria,1.0,1,-,-
,,1.0,1,-,-
Tlaxcala (1),Tlaxcala,1.0,1,-,-
"Veracruz de 
Ignacio de 
la Llave (6)",Acayucan,1.0,1,-,-
,"Cosamaloapa
n",4.0,-,-,4
,Misantla,1.0,1,-,-
Totales,,65.0,45,9,11
