Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
,,,,,
,,,,,
"Chihuahua 
(5)",Chihuahua,2,2,-,-
,,1,1,-,-
,Juárez,1,1,-,-
,,1,1,-,-
Colima (2),Manzanillo,2,2,-,-
"Guanajuato 
(11)",Acámbaro,2,2,-,-
,"Dolores Hidalgo 
Cuna de la 
Independencia 
Nacional",1,1,-,-
,Irapuato,1,1,-,-
,,1,1,-,-
,León,1,1,-,-
,Salamanca,4,-,-,4
,,1,1,-,-
Guerrero (4),"Atoyac de 
Álvarez",1,1,-,-
,,1,1,-,-
,"Chilpancingo de 
los Bravo",1,1,-,-
,,1,1,-,-
Hidalgo (1),Tula de Allende,1,1,-,-
México (4),Atizapán,1,1,-,-
,Chiconcuac,1,1,-,-
,"Tlalnepantla de 
Baz",1,-,1,-
,Xonacatlán,1,-,1,-
"Michoacán 
de Ocampo 
(9)",Buenavista,1,1,-,-
,,1,-,-,1
,Jacona,1,-,1,-
,Morelia,1,1,-,-
,,2,2,-,-
,Uruapan,1,-,-,1
,Zamora,2,2,-,-
Morelos (1),Cuernavaca,1,1,-,-
"Nuevo León 
(3)",Apodaca,1,1,-,-
,Monterrey,1,1,-,-
,,1,1,-,-
Oaxaca (1),"Matías Romero 
Avendaño",1,1,-,-
Puebla (5),Puebla,1,1,-,-
,,2,2,-,-
,"San Martín 
Texmelucan",2,2,-,-
"Quintana 
Roo (2)",Solidaridad,1,1,-,-
,,1,1,-,-
"San Luis 
Potosí (3)","Ciudad 
Fernández",1,1,-,-
,Ríoverde,1,1,-,-
,San Luis Potosí,1,1,-,-
Sinaloa (4),Culiacán,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Tabasco (1),Centro,1,-,-,1
"Tamaulipas 
(1)",Victoria,1,1,-,-
"Veracruz de 
Ignacio de la 
Llave (6)",Alvarado,1,-,1,-
,Coatepec,2,2,-,-
,"Martínez de la 
Torre",1,1,-,-
,Papantla,2,-,2,-
,,,,,
Totales,63,50,6,7,
