Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja California 
(1)",Tijuana,1,-,1,-
Chihuahua (3),Cuauhtémoc,1,1,-,-
,Guerrero,1,1,-,-
,Juárez,1,1,-,-
"Ciudad de 
México (5)",Benito Juárez,3,3,-,-
,Tlalpan,1,1,-,-
,"Venustiano 
Carranza",1,1,-,-
Colima (2),Manzanillo,2,-,-,2
"Guanajuato 
(10)","Apaseo el 
Grande",1,1,-,-
,Celaya,5,3,2,-
,León,1,1,-,-
,,2,-,2,-
,Salamanca,1,1,-,-
Guerrero (7),"Acapulco de 
Juárez",1,-,-,1
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,"Atoyac de 
Álvarez",1,1,-,-
,"Iguala de la 
Independenci
a",2,1,1,-
Jalisco (4),Guadalajara,1,-,1,-
,Zapopan,1,1,-,-
,,1,1,-,-
,,1,1,-,-
México (5),Chalco,2,2,-,-
,"Nezahualcóyo
tl",1,1,-,-
,Tepotzotlán,2,2,-,-
"Michoacán de 
Ocampo (2)",Morelia,1,-,1,-
,Zamora,1,1,-,-
Morelos (4),Cuernavaca,1,1,-,-
,Jiutepec,3,3,-,-
"Nuevo León 
(2)",García,2,1,1,-
Oaxaca (1),"Villa de 
Tututepec de 
Melchor 
Ocampo",1,1,-,-
Puebla (1),Puebla,1,1,-,-
"Quintana Roo 
(2)",Benito Juárez,2,2,-,-
"San Luis 
Potosí (3)",Santa Catarina,3,3,-,-
Sonora (1),Guaymas,1,1,-,-
,Tamaulipas (1)  Nuevo Laredo,1,-,-,1
"Veracruz de 
Ignacio de la 
Llave (6)",Atoyac,1,1,-,-
,Isla,1,-,1,-
,Mecatlán,2,2,-,-
,Omealca,1,1,-,-
,Playa Vicente,1,1,-,-
Totales,,60,46,10,4
