Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Baja 
California 
(5)",Tijuana,1,-,-,1
,,1,1,-,-
,,2,-,-,2
,,1,1,-,-
"Chihuahua 
(3)",Chihuahua,1,1,-,-
,Cuauhtémoc,1,1,-,-
,Juárez,1,1,-,-
"Ciudad de 
México (2)",Cuauhtémoc,1,1,-,-
,Tláhuac,1,-,-,1
"Guanajuato 
(13)",Celaya,1,1,-,-
,Irapuato,2,2,-,-
,,1,1,-,-
,León,1,1,-,-
,,2,2,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,Pénjamo,1,-,-,1
,Salamanca,1,1,-,-
,,,,,
,"San Francisco 
del Rincón",1.0,1,-,-
"Guerrero 
(10)","Acapulco de 
Juárez",1.0,-,1,-
,Azoyú,3.0,3,-,-
,"Coyuca de 
Benítez",1.0,1,-,-
,,1.0,1,-,-
,"La Unión de 
Isidoro 
Montes de 
Oca",3.0,-,-,3
,"Taxco de 
Alarcón",1.0,1,-,-
Hidalgo (3),Huichapan,1.0,1,-,-
,"Santiago 
Tulantepec de 
Lugo 
Guerrero",1.0,1,-,-
,"Tula de 
Allende",1.0,1,-,-
Jalisco (6),El Salto,1.0,1,-,-
,Guadalajara,1.0,1,-,-
,,1.0,-,-,1
,,1.0,1,-,-
,"Lagos de 
Moreno",1.0,1,-,-
,Tonalá,1.0,1,-,-
México (5),"Almoloya del 
Río",1.0,-,1,-
,Chalco,1.0,1,-,-
,"Ecatepec de 
Morelos",2.0,2,-,-
,Ocoyoacac,1.0,1,-,-
"Michoacán 
de Ocampo 
(6)",Angamacutiro,2.0,2,-,-
,Huandacareo,1.0,1,-,-
,Uruapan,1,1,-,-
,,1,-,-,1
,Zamora,1,1,-,-
Morelos (1),Cuernavaca,1,1,-,-
"Nuevo León 
(2)","Ciénega de 
Flores",1,1,-,-
,Monterrey,1,1,-,-
Oaxaca (1),"San Felipe 
Jalapa de Díaz",1,1,-,-
Puebla (1),Puebla,1,-,1,-
"Quintana 
Roo (1)",Benito Juárez,1,1,-,-
"San Luis 
Potosí (1)","San Luis 
Potosí",1,1,-,-
Sinaloa (6),Culiacán,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Sonora (1),Guaymas,1,1,-,-
"Tamaulipas 
(3)",Reynosa,1,1,-,-
,Tampico,1,1,-,-
,Victoria,1,1,-,-
"Veracruz de 
Ignacio de 
la Llave (6)",Córdoba,1,1,-,-
,"Ixhuatlán del 
Sureste",1,-,-,1
,Las Choapas,2,2,-,-
,,1,1,-,-
,Minatitlán,1,1,-,-
Zacatecas,Fresnillo,1,1,-,-
(2),,,,,
,Río Grande,1.0,1.0,-,-
Totales,,78.0,64.0,3,11
