Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
,,,,,
,,,,,
,,,,,
"Baja 
California (2)",Tijuana,1,1,-,-
,,1,1,-,-
"Chihuahua 
(4)",Chihuahua,2,2,-,-
,,2,2,-,-
"Coahuila de 
Zaragoza (1)",Saltillo,1,1,-,-
Colima (3),Colima,2,1,1,-
,Manzanillo,1,1,-,-
"Guanajuato 
(17)","Apaseo el 
Grande",3,2,1,-
,Celaya,1,1,-,-
,Irapuato,1,1,-,-
,,1,1,-,-
,,1,-,-,1
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,Salamanca,1,1,-,-
,,1,1,-,-
,,2,-,-,2
,"Silao de la 
V√≠ctoria",1,-,1,-
,Tarimoro,1,1,-,-
Guerrero (2),Benito Ju√°rez,1,1,-,-
,Zihuatanejo de,1,1,-,-
,Azueta,,,,
Hidalgo (1),Pachuca de ,1,1,-,-
,Soto,,,,
Jalisco (2),Guadalajara,1,-,-,1
,,1,1,-,-
M√©xico (8),La Paz,1,1,-,-
,Metepec,2,2,-,-
,Naucalpan de ,3,3,-,-
,Ju√°rez,,,,
,Nezahualc√≥yotl,1,1,-,-
,Villa Victoria,1,1,-,-
Michoac√°n ,Morelia,1,1,-,-
de Ocampo ,,,,,
-5,,,,,
,,1,1,-,-
,,2,1,1,-
,Ocampo,1,1,-,-
Morelos (4),Cuernavaca,2,1,1,-
,,1,1,-,-
,Tlaltizap√°n de ,1,1,-,-
,Zapata,,,,
Nuevo Le√≥n ,Monterrey,1,1,-,-
-2,,,,,
,,1,-,-,1
San Luis ,San Luis Potos√≠,2,2,-,-
Potos√≠ (2),,,,,
Sinaloa (1),Mazatl√°n,1,1,-,-
Tabasco (3),Balanc√°n,2,1,1,-
,C√°rdenas,1,-,1,-
Tamaulipas ,Reynosa,1,1,-,-
-1,,,,,
Veracruz de ,Paso del Macho,1,1,-,-
Ignacio de la ,,,,,
Llave (2),,,,,
,Soconusco,1,1,-,-
Totales,,60,48,7,5
