Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
"Aguascalientes 
(1)",Cosío,1,1,-,-
"Baja California 
(4)",Tijuana,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,-,1,-
Chihuahua (5),Juárez,1,-,-,1
,,1,1,-,-
,,1,1,-,-
,Madera,1,1,-,-
,"Nuevo Casas 
Grandes",1,1,-,-
"Coahuila de 
Zaragoza (1)",Saltillo,1,1,-,-
Colima (4),Manzanillo,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Durango (2),Durango,1,1,-,-
,,1,1,-,-
Guanajuato (9),Celaya,1,1,-,-
,Cortázar,1,1,-,-
,Irapuato,2,2,-,-
,,1,1,-,-
,,1,1,-,-
,León,1,1,-,-
,Pénjamo,1,1,-,-
,Salvatierra,1,-,-,1
Guerrero (2),Apaxtla,1,1,-,-
,"Técpan de 
Galeana",1,1,-,-
Jalisco (4),Guadalajara,1,-,-,1
,"San Pedro 
Tlaquepaque",1,1,-,-
,"Tepatitlán de 
Morelos",2,2,-,-
México (2),Texcoco,1,1,-,-
,"Tlalnepantla 
de Baz",1,1,-,-
"Michoacán de 
Ocampo (16)",Cuitzeo,1,1,-,-
,Morelia,1,1,-,-
,,4,4,-,-
,,1,-,-,1
,,1,-,-,1
,,1,1,-,-
,Nocupétaro,1,1,-,-
,Tarímbaro,3,3,-,-
,Zamora,1,1,-,-
,,2,-,-,2
Morelos (3),Cuernavaca,1,1,-,-
,"Emiliano 
Zapata",1,1,-,-
,Tepoztlán,1,1,-,-
Nuevo León (1),"Ciénega de 
Flores",1,1,-,-
Oaxaca (2),"Oaxaca de 
Juárez",1,1,-,-
,"Santiago 
Pinotepa 
Nacional",1,1,-,-
Puebla (4),"Palmar de 
Bravo",2,2,-,-
,"San Martín 
Texmelucan",1,1,-,-
,"San Pedro 
Cholula",1,1,-,-
"San Luis Potosí 
(1)","Santa María 
del Río",1,1,-,-
Sinaloa (3),Culiacán,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Sonora (3),Cajeme,1,1,-,-
,,1,-,-,1
,Empalme,1,1,-,-
Tabasco (2),Centro,1,-,1,-
,Huimanguillo,1,1,-,-
Tlaxcala (1),"Tepetitla de 
Lardizábal",1,1,-,-
"Veracruz de 
Ignacio de la 
Llave (4)",Coatzacoalcos,1,1,-,-
,Cosoleacaque,1,1,-,-
,Las Choapas,1,1,-,-
,"Paso del 
Macho",1,1,-,-
Totales,,74,64,2,8
