Entidad,Municipio,"No de 
Muertos",Hombre,Mujer,"No 
Identificado"
,,,,,
"Baja 
California 
(6)",Mexicali,3,-,3,-
,,1,-,1,-
,Tijuana,1,1,-,-
,,1,-,1,-
Chiapas (1),"Frontera 
Comalapa",1,1,-,-
"Chihuahua 
(4)",Juárez,1,1,-,-
,,1,-,1,-
,,1,-,-,1
,,1,1,-,-
"Ciudad de 
México (4)",Azcapotzalco,1,-,-,1
,Coyoacán,1,-,-,1
,Tlalpan,2,-,-,2
Colima (1),Armería,1,1,-,-
"Guanajuato 
(15)",Celaya,1,1,-,-
,,1,1,-,-
,Irapuato,1,1,-,-
,León,2,2,-,-
,,1,-,1,-
,,1,1,-,-
,,4,1,3,-
,Pénjamo,1,1,-,-
,Salamanca,1,1,-,-
,,1,1,-,-
,Salvatierra,1,1,-,-
"Guerrero 
(6)","Atoyac de 
Álvarez",2,2,-,-
,"Tlapa de 
Comonfort",4,3,1,-
Jalisco (6),Guadalajara,1,1,-,-
,,1,1,-,-
,Tonalá,1,1,-,-
,Zapopan,1,1,-,-
,,1,1,-,-
,,1,1,-,-
México (1),La Paz,1,1,-,-
"Michoacán 
de Ocampo 
(4)",Morelia,1,1,-,-
,,1,1,-,-
,,1,1,-,-
,Uruapan,1,1,-,-
Morelos (1),Cuernavaca,1,1,-,-
"Nuevo León 
(1)","Cadereyta 
Jiménez",1,1,-,-
Puebla (5),Puebla,1,1,-,-
,"Tecali de 
Herrera",3,-,-,3
,Tehuitzingo,1,1,-,-
"Quintana 
Roo (3)",Benito Juárez,1,1,-,-
,,1,1,-,-
,,1,1,-,-
Sinaloa (1),Culiacán,1,1,-,-
Sonora (6),Cajeme,2,2,-,-
,,1,1,-,-
,Hermosillo,1,1,-,-
,,1,1,-,-
,,1,-,-,1
"Tamaulipas 
(1)",Río Bravo,1,1,-,-
"Veracruz de 
Ignacio de","Huiloapan de 
Cuauhtémoc",1,-,-,1
la Llave (1),,,,,
"Zacatecas 
(4)",Fresnillo,1.0,1,-,-
,Guadalupe,1.0,1,-,-
,Río Grande,1.0,-,1,-
,Zacatecas,1.0,1,-,-
Totales,,71.0,49,12,10
