"Entidades","Julio 19","Entidades","Julio 19"
"Aguascalientes","2","Morelos","5"
"Baja California","3","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","4"
"Campeche","1","",""
"","","Puebla","6"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","2","",""
"","","Quintana Roo","0"
"Ciudad de México","2","",""
"","","San Luis Potosí","5"
"Coahuila","2","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","4"
"Durango","1","",""
"","","Tabasco","5"
"Estado de México","8","",""
"","","Tamaulipas","5"
"Guanajuato","13","",""
"","","Tlaxcala","1"
"Guerrero","6","",""
"","","Veracruz","4"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","0"
"Michoacán","4","",""
"","","Total","99"
