"Entidades","Mayo 30","Entidades","Mayo 30"
"Aguascalientes","0","Morelos","2"
"","","Nayarit","0"
"Baja California","6","",""
"","","Nuevo León","2"
"Baja California Sur","1","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","2"
"Ciudad de México","7","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","4"
"Colima","0","",""
"","","Sonora","3"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","11","",""
"","","Tamaulipas","2"
"Guanajuato","8","",""
"","","Tlaxcala","0"
"Guerrero","6","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","1"
"Jalisco","4","",""
"","","Zacatecas","3"
"Michoacán","6","",""
"","","Total","82"
