"Entidades","Mayo 19","Entidades","Mayo 19"
"Aguascalientes","0","Morelos","2"
"Baja California","3","Nayarit","1"
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","3"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","5","",""
"","","Quintana Roo","3"
"Ciudad de México","3","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","3","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","7","",""
"","","Tamaulipas","2"
"Guanajuato","13","",""
"","","Tlaxcala","0"
"Guerrero","0","",""
"","","Veracruz","7"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","1"
"Michoacán","0","",""
"","","Total","68"
