"Entidades","Mayo 29","Entidades","Mayo 29"
"Aguascalientes","0","Morelos","2"
"","","Nayarit","0"
"Baja California","3","",""
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","4"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","3"
"Ciudad de México","5","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","6","",""
"","","Tamaulipas","0"
"Guanajuato","6","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","2"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","6"
"Michoacán","4","",""
"","","Total","61"
