"Entidades","Septiembre 15","Entidades","Septiembre 15"
"Aguascalientes","0","Morelos","1"
"Baja California","10","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","2"
"Campeche","1","",""
"","","Puebla","2"
"Chiapas","4","",""
"","","Querétaro","0"
"Chihuahua","3","",""
"","","Quintana Roo","1"
"Ciudad de México","3","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","2","",""
"","","Sonora","2"
"Durango","1","",""
"","","Tabasco","0"
"Estado de México","3","",""
"","","Tamaulipas","3"
"Guanajuato","13","",""
"","","Tlaxcala","2"
"Guerrero","1","",""
"","","Veracruz","7"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","0"
"Michoacán","6","",""
"","","Total","76"
