"Defunciones por homicidios"
"Mes de registro : Diciembre"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de registro"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas",""
"1990","1,282","4","14","1","15","10","6","24","19","134","21","32","57","23","84","340","72","31","20","6","90","33","5","17","29","34","12","14","29","","85","10","11"
"1991","1,409","3","32","2","5","15","10","38","43","114","23","40","77","12","79","338","124","32","22","7","113","44","9","2","26","38","27","10","30","3","72","3","16"
"1992","1,680","3","39","1","9","24","11","45","45","125","56","33","195","15","89","337","134","41","25","7","133","53","7","3","30","52","20","19","43","3","63","8","12"
"1993","1,482","","24","1","10","22","9","25","39","101","23","35","129","13","57","329","97","83","43","14","126","59","7","10","20","50","19","17","33","5","62","5","15"
"1994","1,327","2","34","2","4","16","7","45","58","112","15","32","110","13","44","296","123","44","22","11","78","35","11","10","22","37","21","20","26","2","62","1","12"
"1995","1,334","","30","2","4","14","7","56","56","135","38","39","119","16","67","245","104","30","7","12","88","70","9","5","28","32","28","19","15","9","31","6","13"
"1996","1,222","3","35","5","9","13","7","40","49","90","19","24","90","13","59","280","93","26","5","15","89","50","8","5","27","49","23","15","19","4","41","3","14"
"1997","1,351","4","35","3","5","13","6","73","62","126","13","36","110","15","58","290","84","27","14","13","76","48","11","14","16","66","19","16","27","6","46","6","13"
"1998","1,272","4","45","1","4","6","9","80","58","127","20","37","85","15","42","232","64","26","12","8","94","48","6","3","39","60","26","17","35","3","47","4","15"
"1999","1,088","","45","3","7","14","3","61","59","107","12","26","96","12","46","226","67","21","5","5","60","34","11","9","21","46","19","13","20","4","22","4","10"
"2000","967","1","41","2","5","7","5","14","49","84","16","20","68","7","42","207","70","24","10","7","72","37","12","6","31","47","16","8","21","3","25","1","9"
"2001","913","2","26","1","7","12","4","13","51","91","15","18","76","9","33","167","64","16","15","12","65","40","13","11","28","23","23","6","25","7","32","5","3"
"2002","855","3","39","4","2","11","3","48","31","76","11","23","50","1","46","176","55","12","11","8","57","33","12","6","15","30","20","5","20","6","29","4","8"
"2003","854","4","34","2","3","17","2","50","44","69","15","19","55","9","43","172","36","10","8","9","61","35","7","7","10","31","19","9","23","6","35","3","7"
"2004","771","2","34","4","4","8","6","31","38","86","11","19","52","4","23","126","42","13","15","12","56","29","7","8","10","25","34","10","7","8","29","4","14"
"2005","881","3","26","4","3","16","4","32","54","93","13","21","60","6","42","188","63","7","5","13","53","23","10","9","10","25","22","11","25","3","26","3","8"
"2006","849","1","31","","1","6","9","37","49","77","11","12","88","5","41","119","104","8","11","14","46","24","7","11","14","33","21","8","21","1","30","4","5"
"2007","744","2","14","6","3","27","6","","45","88","11","30","41","7","44","116","37","12","9","18","43","26","9","15","15","15","14","14","33","2","32","2","8"
"2008","1,507","5","140","3","7","16","1","39","332","77","30","36","165","6","58","145","67","18","14","21","43","39","11","14","29","63","45","15","15","4","32","7","10"
"2009","2,150","8","251","2","3","22","3","50","404","96","98","38","186","12","62","187","77","28","16","60","51","27","12","13","23","211","88","15","27","7","58","3","12"
"2010","2,252","8","98","3","3","23","14","25","526","95","86","38","186","5","104","207","81","29","51","75","62","30","7","16","32","211","70","20","78","7","44","3","15"
"2011","2,095","5","45","1","4","109","16","5","301","85","48","57","139","10","126","238","66","60","34","143","53","28","16","12","24","174","34","17","82","9","129","2","23"
"2012","1,999","3","29","3","9","100","29","39","141","103","55","45","194","18","132","275","68","47","17","147","63","39","6","7","55","80","52","15","105","8","60","3","52"
"2013","1,927","2","76","4","5","41","16","53","185","92","31","68","214","19","103","278","106","53","16","78","78","40","11","12","11","81","57","21","76","4","69","9","18"
"2014","1,760","6","49","9","10","41","11","56","132","117","34","67","155","18","75","298","60","33","6","60","72","49","8","14","21","123","43","20","53","13","85","2","20"
"2015","1,957","5","92","10","7","27","33","47","104","92","21","83","280","22","128","265","92","48","6","31","71","55","7","13","30","125","36","27","47","12","95","11","35"
"2016","2,380","6","155","30","9","22","69","58","184","154","22","123","213","24","140","273","119","68","10","35","73","56","13","9","27","129","49","65","72","6","105","2","60"
"2017","3,015","6","197","90","4","20","94","44","256","100","16","241","242","32","138","279","213","55","74","44","60","85","24","44","50","114","57","49","138","15","177","3","54"
"2018","3,091","6","248","4","7","28","57","54","213","125","15","328","184","23","281","307","180","78","22","102","69","97","24","53","36","105","84","62","93","8","104","4","90"
"2019","3,264","10","251","7","9","36","85","77","175","139","15","409","177","52","193","310","221","73","19","73","126","109","21","73","51","87","154","52","77","20","85","3","75"

"FUENTE: INEGI. Estadísticas de mortalidad."
