"Defunciones por homicidios"
"Mes de registro : Mayo"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de registro"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas",""
"1990","1,209","3","27","2","11","13","3","24","25","104","28","22","80","11","76","258","96","27","25","5","101","45","12","3","17","60","16","10","15","6","62","9","13"
"1991","1,344","1","25","","4","17","10","29","45","98","31","41","81","12","83","316","99","38","14","5","113","31","5","4","16","62","14","10","42","3","74","9","12"
"1992","1,455","5","20","3","11","15","24","46","42","103","64","30","151","8","65","267","115","39","22","13","128","46","5","4","28","51","20","13","31","4","65","5","12"
"1993","1,410","1","12","1","4","16","5","42","42","98","29","35","119","19","85","344","89","33","12","8","119","57","8","10","17","50","19","13","37","5","63","9","9"
"1994","1,505","3","38","1","12","24","8","62","78","118","37","45","109","10","61","258","129","50","27","16","114","35","11","8","19","56","17","26","42","3","69","4","15"
"1995","1,416","4","28","2","9","18","3","69","68","124","31","21","104","16","84","250","130","28","14","12","98","57","11","3","14","70","18","26","24","3","61","3","13"
"1996","1,340","","45","2","8","14","3","72","64","96","21","19","86","14","71","268","94","30","16","12","107","49","9","2","17","64","35","19","28","7","51","3","14"
"1997","1,170","3","26","","8","7","6","49","78","94","26","29","92","7","59","212","71","29","14","11","73","39","13","2","23","50","24","14","28","8","60","2","13"
"1998","1,210","7","34","1","6","14","1","76","45","110","12","33","89","14","47","204","51","35","13","10","106","65","3","12","37","48","30","12","31","2","52","4","6"
"1999","1,080","2","59","6","8","9","5","58","51","75","14","24","74","5","50","179","70","28","17","15","80","42","7","9","25","40","31","15","27","10","33","3","9"
"2000","919","1","37","1","7","8","1","17","54","63","12","27","92","14","34","172","53","20","10","15","51","37","10","8","21","45","18","12","19","6","36","7","11"
"2001","945","4","50","3","4","11","7","17","68","92","15","17","49","6","44","179","61","23","8","3","55","45","8","7","18","51","21","8","18","5","36","2","10"
"2002","838","3","35","1","7","9","2","24","57","89","17","18","51","4","41","155","40","11","18","7","51","29","3","7","7","58","13","9","17","9","32","2","12"
"2003","878","4","44","2","6","11","4","34","51","62","22","18","48","4","35","167","49","21","11","13","50","35","10","12","19","49","23","11","15","1","38","2","7"
"2004","817","3","39","1","5","7","4","21","44","88","17","7","46","9","28","170","53","21","13","10","49","32","6","17","7","23","23","10","24","1","29","3","7"
"2005","861","3","44","4","3","15","1","27","42","65","20","17","50","7","44","168","55","13","8","14","39","23","9","9","17","55","29","11","29","5","24","2","9"
"2006","957","5","41","","4","8","3","48","64","61","19","12","77","4","47","173","76","16","7","18","42","30","5","4","14","35","25","15","49","2","41","6","6"
"2007","943","3","46","2","2","9","4","1","48","94","16","20","102","12","39","114","64","10","8","40","59","29","3","10","11","53","54","21","8","4","48","3","6"
"2008","1,096","5","52","3","1","11","3","9","203","76","34","24","82","10","53","109","62","24","22","16","54","28","8","12","9","86","36","10","23","5","11","5","10"
"2009","1,403","6","106","4","5","33","3","38","187","92","64","41","127","12","51","167","86","19","9","23","44","21","10","6","19","89","41","22","19","8","42","4","5"
"2010","2,150","3","131","9","3","72","9","14","573","91","101","35","120","12","85","190","47","27","38","75","58","37","4","11","31","167","75","17","51","5","41","3","15"
"2011","2,627","9","73","2","4","50","18","24","365","102","292","58","224","17","104","216","75","30","64","210","62","38","6","17","42","154","41","25","224","3","51","5","22"
"2012","2,451","5","48","4","12","86","31","33","282","100","70","59","262","12","151","241","63","57","31","203","55","37","9","20","48","158","54","22","186","5","75","6","26"
"2013","2,077","2","69","4","2","76","18","42","206","90","22","60","212","13","154","261","94","55","23","89","66","48","14","12","30","125","62","23","68","5","75","2","55"
"2014","1,831","3","53","2","8","42","9","41","171","70","30","70","138","15","112","239","114","28","23","67","64","41","7","12","19","105","70","12","142","5","97","4","18"
"2015","1,777","5","61","22","9","22","18","44","188","91","21","61","196","22","101","227","89","35","14","40","64","49","15","10","21","112","56","23","53","4","81","7","16"
"2016","2,068","5","88","9","8","39","51","37","139","114","18","104","191","22","141","266","113","60","13","57","58","54","12","18","38","112","39","28","69","6","107","6","46"
"2017","2,828","11","177","32","8","26","68","53","181","145","24","182","227","28","139","294","150","62","19","60","109","103","10","29","49","190","77","51","103","8","161","3","49"
"2018","3,389","7","260","13","6","26","55","62","302","159","18","320","229","29","241","262","172","69","31","64","114","108","17","82","56","113","73","51","221","12","145","3","69"
"2019","3,055","12","208","8","11","44","71","43","313","137","16","297","181","35","200","259","208","78","14","82","90","124","21","42","38","87","86","68","62","13","146","4","57"

"FUENTE: INEGI. Estadísticas de mortalidad."
